genNum	maxFit	avgFit	bestPhrase
505	0.81818	0.78636	H8l,o world
506	0.81818	0.76091	HGl,o world
507	0.81818	0.76	HGl*o world
508	0.81818	0.76545	HGl*o world
509	0.81818	0.77318	HGl,o world
510	0.81818	0.76636	HGl,o world
511	0.81818	0.80818	HGl,o world
512	0.81818	0.79409	HGl,o world
513	0.81818	0.76591	HGl,o world
514	0.90909	0.78182	Hel*o world
515	0.81818	0.79273	HGl,o world
516	0.81818	0.81818	HGl,o world
517	0.81818	0.78182	H;l,o world
518	0.81818	0.78773	HGl*o world
519	0.81818	0.75727	HGl,o world
520	0.81818	0.76136	HGl*o world
521	0.81818	0.76909	HGl*o world
522	0.81818	0.74364	H[l,o world
523	0.81818	0.77773	HGl,o world
524	0.81818	0.78545	HGl,o world
525	0.81818	0.76364	HGl,o world
526	0.81818	0.72455	HGl*o world
527	0.81818	0.77773	HGl,o world
528	0.81818	0.78455	H[l,o world
529	0.81818	0.75591	HGl,o world
530	0.81818	0.74227	HGl,o world
531	0.81818	0.76727	HGl*o world
532	0.81818	0.76	HGl*o world
533	0.81818	0.74545	HGl,o world
534	0.81818	0.75773	HGlKo world
535	0.81818	0.76636	HGl4o world
536	0.81818	0.79273	HGl,o world
537	0.81818	0.78545	HGl,o world
538	0.81818	0.80591	HGl*o world
539	0.81818	0.79909	HGl*o world
540	0.81818	0.78727	Hll*o world
541	0.81818	0.78318	HGl*o world
542	0.81818	0.79864	HGl*o world
543	0.81818	0.79727	HGl,o world
544	0.81818	0.76182	Hll*o world
545	0.81818	0.74727	HGl*o world
546	0.81818	0.73682	HGl,o world
547	0.81818	0.74364	HGl,o world
548	0.81818	0.74136	HGl,o world
549	0.81818	0.76318	HGl,o world
550	0.81818	0.79273	HGl,o world
551	0.81818	0.795	HGl*o world
552	0.81818	0.77773	HGl,o world
553	0.81818	0.79591	HGl,o world
554	0.81818	0.80682	HGl,o world
555	0.81818	0.78909	HGl,o world
556	0.81818	0.77182	HGl,o world
557	0.81818	0.765	HGlKo world
558	0.81818	0.80318	HGl*o world
559	0.81818	0.80864	HGl*o world
560	0.81818	0.76545	HGl*o world
561	0.81818	0.80409	HGl*o world
562	0.81818	0.77864	HGl*o world
563	0.81818	0.77682	HGl*o world
564	0.81818	0.79955	HGl,o world
565	0.81818	0.805	HGl,o world
566	0.81818	0.79045	HGl,o world
567	0.81818	0.80409	HGl,o world
568	0.81818	0.78818	HGl,o world
569	0.81818	0.78273	HGl,o world
570	0.81818	0.79227	HGl,o world
571	0.81818	0.77682	HGl8o world
572	0.81818	0.74955	HGl,o world
573	0.81818	0.78409	HGl*o world
574	0.81818	0.80591	HGl*o world
575	0.81818	0.76864	HGl*o world
576	0.81818	0.79091	HGl*o world
577	0.81818	0.79136	HGl*o world
578	0.81818	0.78045	HGl,o world
579	0.81818	0.76045	HGl,o world
580	0.81818	0.77091	HGl,o world
581	0.81818	0.80045	HGl*o world
582	0.81818	0.77091	HGl,o world
583	0.81818	0.75818	HGl,o world
584	0.81818	0.79182	HGl,o world
585	0.81818	0.80955	HGl*o world
586	0.81818	0.77773	HGl,o world
587	0.81818	0.80455	HGl,o world
588	0.81818	0.81364	HGl*o world
589	0.81818	0.79545	HGl*o world
590	0.81818	0.81091	H!l*o world
591	0.81818	0.78955	HGl*o world
592	0.81818	0.74409	HGl*o world
593	0.81818	0.77909	HGl*o world
594	0.81818	0.76818	HGlKo world
595	0.81818	0.79818	HGlKo world
596	0.81818	0.79182	HGl*o world
597	0.81818	0.775	HGl*o world
598	0.81818	0.76091	HGl*o world
599	0.81818	0.75045	HGl*o world
600	0.81818	0.76727	HGl*o world
601	0.81818	0.79727	HGl*o world
602	0.81818	0.79591	HGl*o world
603	0.81818	0.79955	HGl*o world
604	0.81818	0.77773	HGl,o world
605	0.81818	0.80273	HGl*o world
606	0.81818	0.77227	HGl*o world
607	0.81818	0.78818	H0l,o world
608	0.81818	0.74909	HGlKo world
609	0.81818	0.775	HGl*o world
610	0.81818	0.76045	HGl*o world
611	0.81818	0.78318	HGl*o world
612	0.81818	0.79136	H=l*o world
613	0.81818	0.74045	H=l,o world
614	0.81818	0.78409	HglTo world
615	0.81818	0.76591	HGlTo world
616	0.81818	0.78227	HGl,o world
617	0.81818	0.77955	HGl,o world
618	0.81818	0.80318	HGlTo world
619	0.81818	0.80636	HGl,o world
620	0.81818	0.79909	HGl,o world
621	0.81818	0.79364	HGl,o world
622	0.81818	0.75182	HGlKo world
623	0.81818	0.75818	HGl,o world
624	0.81818	0.75636	HGl,o world
625	0.81818	0.77818	HGlKo world
626	0.81818	0.765	HGl,o world
627	0.81818	0.75364	HGl,o world
628	0.81818	0.80455	HGl,o world
629	0.81818	0.79818	HGlTo world
630	0.81818	0.77045	HGlKo world
631	0.81818	0.745	H=lKo world
632	0.81818	0.78182	HGlKo world
633	0.81818	0.76409	H=l,o world
634	0.81818	0.79545	H=lKo world
635	0.81818	0.79227	HGlKo world
636	0.81818	0.77182	H=l,o world
637	0.81818	0.78136	H=l,o world
638	0.81818	0.79682	HglKo world
639	0.81818	0.78318	HGlKo world
640	0.81818	0.76818	H=lKo world
641	0.81818	0.76864	H=lKo world
642	0.81818	0.72955	HGl,o world
643	0.81818	0.77091	Hgl,o world
644	0.81818	0.71909	H=l,o world
645	0.81818	0.77273	HGl,o world
646	0.81818	0.74227	HGlKo world
647	0.81818	0.77591	H=lKo world
648	0.81818	0.78136	H=l,o world
649	0.81818	0.78136	H=l,o world
650	0.81818	0.77818	H=l,o world
651	0.81818	0.77364	H:l,o world
652	0.81818	0.76	H=lKo world
653	0.81818	0.74591	H=lKo world
654	0.81818	0.78955	HGlAo world
655	0.81818	0.75227	H=lKo world
656	0.81818	0.76591	HGlKo world
657	0.81818	0.77227	HGlKo world
658	0.81818	0.76136	H=l,o world
659	0.81818	0.78727	H=l@o world
660	0.81818	0.73273	H=lKo world
661	0.81818	0.76955	H=lKo world
662	0.81818	0.73727	H>lKo world
663	0.81818	0.775	HGl[o world
664	0.81818	0.74773	H=lKo world
665	0.81818	0.78	H=lKo world
666	0.81818	0.78455	HGlzo world
667	0.81818	0.75636	H=l,o world
668	0.81818	0.78045	H>lKo world
669	0.81818	0.76	H=lKo world
